Tratamento;Nome;Telefone;Cargo;Endereço;Bairro;CEP;Cidade;Estado;Email
A Sua Excelência o Senhor Presidente;CLAUDIO WILLIANS RAMALHO NEVES;(22) 2779-2047 /(22)999866232;Presidente da Câmara Municipal Conceição de Macabu;Pç. Dr. José Bonifácio Tassara, 113 Centro;Centro;28.740-000;CONCEIÇÃO DE MACABU;RJ;claudio.willians@hotmail.com
A Sua Excelência o Senhor Presidente;DEOCLÉCIO MACHADO VIANA;(21) 2635-2618/7891-0681;Presidente da Câmara Municipal Itaboraí;Praça Marechal Floriano Peixoto, 221 Centro;Centro;24.800-000;ITABORAÍ;RJ;deocleciomachado@camaraitaborai.rj.gov.br
A Sua Excelência o Senhor Presidente;DINEY MARINS;(21) 3056-1792 / 30783400;Presidente da Câmara Municipal São Gonçalo;Rua Feliciano Sodré, 100 Centro;Centro;24440-440;SÃO GONÇALO;RJ;assessoria@camaradesaogoncalo.rj.gov.br
A Sua Excelência o Senhor Presidente;DR. LUCIANO DE SOUZA NUNES;(22) 3831-3161 / 38339200;Presidente da Câmara Municipal Bom Jesus do Itab;Praça Amaral Peixoto, s/nº - Edifício Ésio Martins Bastos Centro;Centro;28.360-000;BOM JESUS DO ITABAPOANA;RJ;camarabji@hotmail.com
A Sua Excelência o Senhor Presidente;DR.DURRAL MUTRAN LUZ;(21) 2683-2232/ 5034;Presidente da Câmara Municipal Paracambi;Avenida dos Operários, 186 Centro;Centro;26.600-000;PARACAMBI;RJ;cmparacambi@gmail.com
A Sua Excelência o Senhor Presidente;EDSON BATISTA;(22) 2101-6350 / (22)2101-6315/(22)9951-4357;Presidente da Câmara Municipal Campos;Av. Alberto Torres 334 Centro;Centro;28.035-600;CAMPOS DOS GOYTACAZES;RJ;camaracampos@rj.gov.br
A Sua Excelência o Senhor Presidente;EDUARDO CARDOSO;(22)2796-4681/ 7850 / 2033;Presidente da Câmara Municipal Macaé;Av. Rui Barbosa, 197 Centro;Centro;27.910-360;MACAÉ;RJ;dreduardo@cmmacae.rj.gov.br
A Sua Excelência o Senhor Presidente;EDUARDO MOREIRA;(21) 2771-6638/2784-6900;Presidente da Câmara Municipal Duque de Caxias;Rua Paulo Lins, 41 Centro;Centro;25.070-000;DUQUE DE CAXIAS;RJ;vereadoreduardomoreira@cmdc.rj.gov.br
A Sua Excelência o Senhor Presidente;EDUARDO PAULO CORREA;(24) 2484-2303;Presidente da Câmara Municipal Miguel Pereira;Rua Prefeito Manoel Guilherme Barbosa, 375 - 2º andar Centro;Centro;26.900-000;MIGUEL PEREIRA;RJ;camarammprj@yahoo.com.br
A Sua Excelência o Senhor Presidente;ENES NOGUEIRA FERNANDES PASSOS;(24) 2465-3315;Presidente da Câmara Municipal Mendes;Rua Alberto Torres, nº 66 Centro;Centro;26.700-000;MENDES;RJ;camarademendes@gmail.com
A Sua Excelência o Senhor Presidente;FLAVIO DINIZ  BERRIEL;(22) 3864-1900 / 3864-1222;Presidente da Câmara Municipal Aperibé;Rua Professor Honório Silvestre, 93 Centro;Centro;28.495-000;APERIBÉ;RJ;"secretaria@cmaperibe.rj.gov.br;romulosanto@hotmail"
A Sua Excelência o Senhor Presidente;FRANCISCO CARLOS RIBEIRO;(22) 2537-1438;Presidente da Câmara Municipal Carmo;Praça Princesa Isabel, 15 Centro;Centro;28.640-000;CARMO;RJ;camaracarmorj2009@yahoo.com.br
A Sua Excelência o Senhor Presidente;FRANCISCO DE ASSIS CAVALCANTE DA SILVA;(24) 2271-1143/1457;Presidente da Câmara Municipal Sapucaia;Rua Maurício de Abreu, 208 Centro;Centro;25.880-000;SAPUCAIA;RJ;camarasapucaia.rj@gmail.com
A Sua Excelência o Senhor Presidente;FRANCISCO FORTUNATO DE SOUZA;(22) 2534-1112;Presidente da Câmara Municipal Duas Barras;Rua Comendador Alves Ribeiro, 12 Centro;Centro; 28.650-000;DUAS BARRAS;RJ;camaraduasbarras@gmail.com
A Sua Excelência o Senhor Presidente;FRANK MONTEIRO LENGRUBER;(22)2554-1161;Presidente da Câmara Municipal Macuco;Praça Nilo Peçanha - Travessa Mercedes Monteiros Machado nº 190 Centro;Centro;28.545-000;MACUCO;RJ;fmleng23@hotmail.com
A Sua Excelência o Senhor Presidente;GENÁRIO EURICO ROCHA;(24) 2453-3777/  3199;Presidente da Câmara Municipal Valença;Pça. XV de Novembro, 676 Centro;Centro; 27.600-000;VALENÇA;RJ;vereadordodo@hotmail.com
A Sua Excelência o Senhor Presidente;GILBERTO DE SOUSA CALDAS;(24) 3353-2668 / 4920;Presidente da Câmara Municipal Porto Real;Av. Dom Pedro II, 1550 Centro;Centro; 27.570-000;PORTO REAL;RJ;gdcaldas@bol.com.br
A Sua Excelência o Senhor Presidente;GUSTAVO PINHO DA SILVA;(22) 3829-2250;Presidente da Câmara Municipal Laje de Muriaé;Praça Padre Martins, 74 Centro;Centro;28.350-000;LAJE DO MURIAÉ;RJ;vereadorgustavo@gmail.com
A Sua Excelência o Senhor Presidente;HÉLIO RICARDO PEREIRA BATISTA;(24) 3353-2806/ 6017 /6094 / 3509;Presidente da Câmara Municipal Quatis;Praça Dr. Teixeira Brandão,32 Centro;Centro;27.410-190;QUATIS;RJ;camaramunicipal.quatis@gmail.com
A Sua Excelência a  Senhora  Presidente;HOMERO ECARD  ROQUE;(22) 2555-4206/4755;Presidente da Câmara Municipal Cantagalo;Rua Chapot Prevost, 193 Centro;Centro;28.500-000;CANTAGALO;RJ;secretaria@cmcantagalo.rj.gov.br
A Sua Excelência o Senhor Presidente;ISAIAS ALVES NOGUEIRA;(22) 2564-1108/1433;Presidente da Câmara Municipal Trajano de Moraes;Pça. Waldemar Magalhães, 5 Centro;Centro;28.750-000;TRAJANO DE MORAES;RJ;cmtrajano@hotmail.com
A Sua Excelência o Senhor Presidente;JAIR BALBINO DA SILVA;(24) 3352-2245/ 9908-1280;Presidente da Câmara Municipal Itatiaia;Avenida dos Expedicionários, 205 Centro;Centro; 27.580-000;ITATIAIA;RJ;itatiaia.camara@hotmail.com
A Sua Excelência o Senhor Presidente;JEREMIAS CASEMIRO;(24) 3354-9250;Presidente da Câmara Municipal Resende;Rua Padre Couto, 10 Centro;Centro;27.511-150;RESENDE;RJ;vereador.mirirm@yahoo.com.br
A Sua Excelência o Senhor Presidente;JOACIR BARBAGLIO PEREIRA;(24) 2251-5100;Presidente da Câmara Municipal Três Rios;R. Ruy Barbosa, 176 Pç. JK Centro;Centro;25.805-001;TRÊS RIOS;RJ;joa@cvtr.rj.gov.br
A Sua Excelência o Senhor Presidente;JOÃO BATISTA BITENCOURT DA ROCHA;(22) 3861-3500;Presidente da Câmara Municipal Itaocara;Pç. Rui Barbosa, 40 Centro;Centro; 28.570-000;ITAOCARA;RJ;presidencia@camaraitaocara.rj.gov.br
A Sua Excelência o Senhor Presidente;JOEL DE FREITAS TINOCO;(24) 2443-9672 /9673/9674/ 2443-9650/ 2443-9654;Presidente da Câmara Municipal Barra do Piraí;Pç. Nilo Peçanha, nº 07 Centro;Centro;27.123-020;BARRA DO PIRAÍ;RJ;cassiacapato@hotmail.com
A Sua Excelência o Senhor Presidente;JORGE FELIPPE;(21) 3814-2661;Presidente da Câmara Municipal Rio de Janeiro;"CMRJ - Palácio Pedro Ernesto - Praça Floriano, s/nº 
Centro 20.031-050";Centro;20031-050;RIO DE JANEIRO;RJ;"presidencia@camara.rj.gov.br;avalonc@globo.com"
A Sua Excelência o Senhor Presidente;JORGE HENRIQUE DA COSTA NUNES;(21) 2791-1709/1688;Presidente da Câmara Municipal Nilopolis;Av. Mirandela, 393 Centro;Centro;26.520-330;NILÓPOLIS;RJ;cmnil@terra.com.br
A Sua Excelência o Senhor Presidente;JORGE HENRIQUE DA SILVA;(22) 2758-1181;Presidente da Câmara Municipal São Fidelis;Praça da Bandeira, 74 Centro;Centro;28.400-000;SÃO FIDÉLIS;RJ;camaramunicipalf@hotmail.com
A Sua Excelência o Senhor Presidente;JOSÉ CLAUDIO DE ALMEIDA;(24) 2263-7400 / 22637422;Presidente da Câmara Municipal Paraíba do Sul;Praça Garcia Paes Leme, nº 96 Centro;Centro;25.850-000;PARAÍBA DO SUL;RJ;cmpsrj@yahoo.com.br
A Sua Excelência o Senhor Presidente;JOSÉ EDUARDO DE FARIA JÚNIOR;(21) 2796-0125/1619/2174;Presidente da Câmara Municipal Mesquita;Rua Arthur de Oliveira Vecchi, 260 Centro;Centro; 26.550-150;MESQUITA;RJ;camara_mesquita@ig.com.br
A Sua Excelência o Senhor Presidente;JOSELIA BARREIRA BRAGA DE JESUS;(22) 3866-1086/1200/1122;Presidente da Câmara MunicipalSão José Uba;Rua José Guedes das Neves, s/nº Centro;Centro;28.455-000;SÃO JOSÉ DE UBÁ;RJ;camarafuba@gmail.com
A Sua Excelência o Senhor Presidente;JÚLIO AVELINO DE MOURA JÚNIOR;(24) 2485-1230 / (24) 981493773;Presidente da Câmara Municipal Paty do Alferes;Rua Coronel Manoel Bernardes, 378 Centro;Centro; 26.950-000;PATY DO ALFERES;RJ;vivianecamarapatydoalferes@hotmail.com
A Sua Excelência o Senhor Presidente;KAIO JOSÉ BALTAZAR FERREIRA;(24) 2463-1299 / 1329;Presidente da Câmara Municipal Paulo de Frontim.;Praça Nelson Salles,  nº 27 - 2º pavimento Rodoviário Centro;Centro; 26.650-000;ENGENHEIRO PAULO DE FRONTIN;RJ;led.camara@gmail.com
A Sua Excelência o Senhor Presidente;LUCAS DUARTE RABELLO;(24) 2224-1036 / 1542;Presidente da Câmara Municipal S. José do Vale;Rua Antonio Coelho Guerra - 55 Centro;Centro;25.780-000;SÃO JOSÉ DO VALE DO RIO PRETO;RJ;lucasrabello@hotmail.com
A Sua Excelência o Senhor Presidente;LUCIANO DE AZEVEDO LEITE / GUGA;(22) 2621-1525/ 2143/ 996250431;Presidente da Câmara Municipal S. Pedro da Aldeia;Rua Hermógenes Freire da Costa, 179 Centro;Centro; 28.940-000;SÃO PEDRO DA ALDEIA;RJ;secretaria@cmspa.rj.gov.br
A Sua Senhoria a  Senhora Presidente;LUCIANO DE OLIVEIRA VIDAL *;(2433717513;Presidente da Câmara Municipal Paraty;Rua Dr. Samuel Costa, 24/26 Centro Histórico;Centro Histórico; 23.970-000;PARATY;RJ;presidenciaparaty@hotmail.com
A Sua Excelência a  Senhoa Presidente;LUCIANO FARIAS AGUIAR;(22) 2622-1615/1152;Presidente da Câmara Municipal Arraial do Cabo;Av. Paulo de Castro Moreira, s/nº Centro;Centro;28.930-000;ARRAIAL DO CABO;RJ;lucianafa38@hotmail.com
A Sua Excelência o Senhor Presidente;LUCIANO LUCIO NATALINO;(21) 2747-1558 / 1565;Presidente da Câmara Municipal Tanguá;Rua XV de Novembro, Lote . 40 Centro;Centro;24.890-000;TANGUÁ;RJ;camaratangua@ig.com.br
A Sua Excelência o Senhor Presidente;LUIZ CARLOS FONSECA LOPES;(22) 2768-1224;Presidente da Câmara Municipal Quissamã;Av. Francisco Carneiro da Silva, 497 Alto Alegre;Alto Alegre; 28.735-000;QUISSAMÃ;RJ;luizcarlos_vereador@oi.com.br
A Sua Senhoria a Senhora Presidente;MANOEL DA SILVA SANTOS;(22) 2559-1160;Presidente da Câmara Municipal São S. do Alto;Rua Júlio Vieitas, 88 Centro;Centro; 28.550-000;SÃO SEBASTIÃO DO ALTO;RJ;cmssa_rj.1892@yahoo.com.br
A Sua Excelência o Senhor Presidente;MARCELLO CORRÊA;(22) 2643-0830 / 2647-3636 R. 223;Presidente da Câmara Municipal Cabo Frio;Av. Assunção, 760 Centro;Centro;28.906-200;CABO FRIO;RJ;ver.silasbento@cmcabofrio.rj.gov.br
A Sua Excelência o Senhor Presidente;MARCELO BORGES DA SILVA;(24) 3322-2652;Presidente da Câmara Municipal Barra Mansa;Rua Mamede Froes de Andrade, 60 Centro;Centro;27.355-030;BARRA MANSA;RJ;marcellocabeleireiro@yahoo.com
A Sua Excelência o Senhor Presidente;MARCIO DAMAZIO;(22) 2522-1516/4516/9105/2524-1700;Presidente da Câmara Municipal Nova Friburgo;Rua Farinha Filho, 50 Centro;Centro;28.610-280;NOVA FRIBURGO;RJ;camaranf@cmni.rj.gov.br
A Sua Excelência o Senhor Presidente;MARCO  AURÉLIO  VARGAS FRANCISCO;(24) 3365-4748 / 3365-5258 /7836-2010;Presidente da Câmara Municipal Angra dos Reis;Rua Dr. Bastos, 12 Centro;Centro;23.900-000;ANGRA DOS REIS;RJ;cabinete.marcoaureo@cmar.com.rj.gov.br
A Sua Excelência o Senhor Presidente;MARCO AURÉLIO DE ALMEIDA GANDRA;(21) 3582-3818/7846-2886;Presidente da Câmara Municipal Belford Roxo;Av. José Mariano Passos, 1214 Centro;Centro;26.130-570;BELFORD ROXO;RJ;diretoria@cmbr.rj.gov.br
A Sua Excelência o Senhor Presidente;MAURÍCIO LOPES;(21) 2742-1766/ 5620;Presidente da Câmara Municipal Teresópolis;Av. Feliciano Sodré, 645 Centro;Centro;25.963-001;TERESÓPOLIS;RJ;drhabib@camarateresopolis.rj.gov.br
A Sua Excelência o Senhor Presidente;MAURICIO MORAIS LOPES;(21) 2667-2409/0284;Presidente da Câmara Municipal Nova Iguaçu;Rua João Luiz Nascimento,38;Centro;26.210-211;NOVA IGUAÇU;RJ;mauriciotocontigo@hotmail.com
A Sua Excelência o Senhor Presidente;MAURICIO SANTANA SOARES;(22) 3852-0633/ 8113-2029;Presidente da Câmara Municipal Miracema;Rua: Marechal Floriano, 340, sobre-loja Centro;Centro;28.460-000;MIRACEMA;RJ;camaramiracema@bol.com.br
A Sua Excelência o Senhor Presidente;MILTON CAMPOS ANTONIO;(21) 2665-9800 / 3300;Presidente da Câmara Municipal Queimados;Av. Avelino Xanchão, 1159 Vila Tinguá;Vila Tinguá; 26.130-000;QUEIMADOS;RJ;cmqueimados@gmail.com
A Sua Excelência o Senhor Presidente;NISAN CÉSAR DOS REIS SANTOS;(21) 2688-1136 / 0539;Presidente da Câmara Municipal Itaguaí;Rua Amélia Louzada, 277 Centro;Centro;23.815-180;ITAGUAÍ;RJ;camara.itaguai@bol.com.br
A Sua Excelência  a  Senhora  Presidente;PAULO CESAR LIMA CONRADO;(24) 4009-2266;Presidente da Câmara Municipal Volta Redonda;Av. Lucas Evangelista, 511 Aterrado;Aterrado;27.215-630;VOLTA REDONDA;RJ;ver.pauloconrado@ig.com.br
A Sua Excelência o Senhor Presidente;PAULO IGOR DA SILVA;(24) 2291-9293/ 9253 / 9249;Presidente da Câmara Municipal Petropolis;Pç. Visconde de Mauá, 89 Centro;Centro;25.686-900;PETRÓPOLIS;RJ;pauloigor@cmp.rj.gov.br
A Sua Excelência o Senhor Presidente;PAULO ROBERTO MATTOS BAGUEIRA LEAL;(21) 37168600;Presidente da Câmara Municipal Niterói;Av. Ernani do Amaral Peixoto, 625 - sala 01 Centro;Centro;24.020-073;NITERÓI;RJ;vereadorbagueira@gmail.com
A Sua Excelência a  Senhora  Presidente;PAULO ROBERTO PINHEIRO PINTO;(22) 3851-0800 / 38530050;Presidente da Câmara Municipal S. Ant. de Padua;Pç. Visconde  Figueira, 57 Centro;Centro;28.470-000;SANTO ANTÔNIO DE PÁDUA;RJ;camarapadua@yahoo.com.br
A Sua Excelência o Senhor Presidente;RAFAEL TUBARÃO;(21) 3630-5615;Presidente da Câmara Municipal Magé;Rua Salma Repani, 114 - Centro 1 -;Centro; 25.900-000;MAGÉ;RJ;camaramunicipaldemage@hotmail.com
A Sua Excelência o Senhor Presidente;REGINALDO FERREIRA DUTRA;(21)  2734-0326 / 8121-7070;Presidente da Câmara Municipal Rio Bonito;Rua Mons. Antonio Souza Gens, 23 Centro;Centro; 28.800-000;RIO BONITO;RJ;brunarb@ig.com.br
A Sua Excelência o Senhor Presidente;RENATO DA SILVA FERNADES;(22) 2789-1160 / 1707;Presidente da Câmara Municipal S. Franc. Itabapoan;Av. Vereador Edenites da Silva Viana, 107 Centro;Centro;28.230-000;SÃO FRANCISCO DE ITABAPOANA;RJ;camarasfsfi@yahoo.com.br
A Sua Excelência o Senhor Presidente;RIANDRO PETRUCCI PIREDA;(22) 3842-1111 / 1749 / 1150;Presidente da Câmara Municipal Porciuncula;Rua César Vieira, 105 - Centro Centro;Centro;28.390-000;PORCIÚNCULA;RJ;cmporciuncula@ig.com.br
A Sua Excelência o Senhor Presidente;ROBSON RODRIGO;(22) 3841-1072 / 3814;Presidente da Câmara Municipal Natividade;Praça Ferreira Rabello, 04 Centro;Centro;28.380-00;NATIVIDADE;RJ;camaranatividade@bol.com.br
A Sua Excelência a Senhora  Presidente;RODRIGO ANDRADE VAZ;(24) 2491-9400;Presidente da Câmara Municipal Vassouras;Rua Barão de Capivari, 20 Centro;Centro;27.700-000;VASSOURAS;RJ;rose.rosefarias@gmail.com
A Sua Excelência a  Senhora  Presidente;RÓGERIO RAMOS DE OLIVEIRA JÚNIOR;(22) 3843-3586 / 3480 / (22) 9972-1383;Presidente da Câmara Municipal Varre e Sai;Av. Felicíssimo Faria Salgado, 21 Centro;Centro; 28.375-000;VARRE-SAI;RJ;rogeriopicachu@gmail.com
A Sua Excelência o Senhor Presidente;ROMACART SOUZA AZEREDO;(22) 2651-1113 / 9432 / 1334;Presidente da Câmara Municipal Saquarema;Rua Coronel Madureira, 77 Centro;Centro;28.990-000;SAQUAREMA;RJ;vereadorpaulorenato@camarasaquarema.rj.gov.br
A Sua Excelência o Senhor Presidente;RONDINELI TOMAS DA COSTA;(22) 2531-1394 / 1568 / 1133;Presidente da Câmara Municipal Sumidouro;Rua Dez de Junho, 165 - 2º andar Centro;Centro; 28.637-000;SUMIDOURO;RJ;cmssecgeral@netflash.com.br
A Sua Excelência o Senhor Presidente;RONI LUIZ PEREIRA DA SILVA;(22) 2668-1142;Presidente da Câmara Municipal Silva Jardim;Pç. Amaral Peixoto, 46 Centro;Centro; 28.820-000;SILVA JARDIM;RJ;camara.sj@ig.com.br
A Sua Excelência o Senhor Presidente;SÉRGIO NEPUTOMUCENO;(24) 2254-2518;Presidente da Câmara Municipal Levy Gasparian;Rua Prfeito José Francisco Xavier, Nº01, Centro;Centro;25870-000; LEVY GASPARIAN;RJ;cmlevygasparian@yahoo.com.br
A Sua Excelência o Senhor Presidente;SILVERIO AMARO PEREIRA FILHO;(24) 3332-1260/ 1220;Presidente da Câmara Municipal Rio Claro;Rua Dr. Salim Alexandre Elias, 274 Centro;Centro;27.460-000;RIO CLARO;RJ;camaraderioclaro@gmail.com
A Sua Excelência o Senhor Presidente;TADEU LIMA SARDOUX;(22) 2767-2596 / 2217;Presidente da Câmara Municipal Cambuci;Rua Getúlio Vargas, s/nº CENTRO;Centro;28.430-000;CAMBUCI;RJ;camaramunicipaldecambuci@yahoo.com.br
A Sua Excelência o Senhor Presidente;VALDEVINO COSTA DA SILVA;(21) 2637-2105 r. 210;Presidente da Câmara Municipal Maricá;Av. Nossa Senhora do Amparo, 57;Centro; 24.900-000;MARICÁ;RJ;gabinete.fabiano@gmail.com
A Sua Excelência o Senhor Presidente;VANTOIL MEDEIROS MARTINS;(22) 2624-2323/4319  ramal 209;Presidente da Câmara Municipal Iguaba Grande;Rodovia Amaral Peixoto,km101-Cidade Nova-;Cidade Nova;28960-000;IGUABA GRANDE;RJ;vantoil.martins@hotmail.com
A Sua Excelência o Senhor Presidente;VITOR TENÓRIO SANTOS;(21) 2789-1440;Presidente da Câmara Municipal Mangaratiba;Trav. Ver. Eloy da Silva Passos, S/Nº;Centro;23.860-000;MANGARATIBA;RJ;contato@cmmangaratiba.rj.gov.br
A Sua Excelência o Senhor Presidente;WAGNER VINICIUS OLIVEIRA;(21) 2682-6757 / 6888;Presidente da Câmara Municipal Seropédica;Av. Ministro Fernando Costa, 754 Centro;Centro;23.890-000;SEROPÉDICA;RJ;cpdcms@outlook.com
A Sua Excelência o Senhor Presidente;WILDEN VIEIRA DA SLVA;(24) 2431-1583;Presidente da Câmara Municipal Piraí;Rua Dr. Luiz Antonio da Silveira, 16 Centro;Centro; 27.175-000;PIRAÍ;RJ;cmpirai@pirai.rj.leg.br
A Sua Excelência o Senhor Presidente;WILSON NOGUEIRA;(22) 2783-1122;Presidente da Câmara Municipal Italva;Av. Coronel Luiz Salles, 201 Centro;Centro;28.250-000;ITALVA;RJ;camaramitalva@irj.gov.br

